"","lineup","weapon","feature","id","foil"
"1","Simultaneous","no","no","correct","correct"
"2","Simultaneous","no","no","correct","correct"
"3","Simultaneous","no","no","correct","correct"
"4","Simultaneous","no","no","correct","correct"
"5","Simultaneous","no","no","correct","correct"
"6","Simultaneous","no","no","correct","correct"
"7","Simultaneous","no","no","correct","correct"
"8","Simultaneous","no","no","correct","correct"
"9","Simultaneous","no","no","correct","correct"
"10","Simultaneous","no","no","correct","correct"
"11","Simultaneous","no","no","correct","correct"
"12","Simultaneous","no","no","correct","correct"
"13","Simultaneous","no","no","correct","correct"
"14","Simultaneous","no","no","correct","correct"
"15","Simultaneous","no","no","correct","correct"
"16","Simultaneous","no","no","correct","correct"
"17","Simultaneous","no","no","correct","correct"
"18","Simultaneous","no","no","correct","correct"
"19","Simultaneous","no","no","correct","correct"
"20","Simultaneous","no","no","correct","correct"
"21","Simultaneous","no","no","correct","correct"
"22","Simultaneous","no","no","correct","correct"
"23","Simultaneous","no","no","correct","correct"
"24","Simultaneous","no","no","correct","correct"
"25","Simultaneous","no","no","correct","correct"
"26","Simultaneous","no","no","correct","correct"
"27","Simultaneous","no","no","correct","correct"
"28","Simultaneous","no","no","correct","correct"
"29","Simultaneous","no","no","correct","correct"
"30","Simultaneous","no","no","correct","correct"
"31","Simultaneous","no","no","correct","correct"
"32","Simultaneous","no","no","correct","correct"
"33","Simultaneous","no","no","correct","correct"
"34","Simultaneous","no","no","correct","correct"
"35","Simultaneous","no","no","correct","correct"
"36","Simultaneous","no","no","correct","correct"
"37","Simultaneous","no","no","correct","correct"
"38","Simultaneous","no","no","correct","correct"
"39","Simultaneous","no","no","correct","correct"
"40","Simultaneous","no","no","correct","correct"
"41","Simultaneous","no","no","foil","foil"
"42","Simultaneous","no","no","foil","foil"
"43","Simultaneous","no","no","foil","foil"
"44","Simultaneous","no","no","foil","foil"
"45","Simultaneous","no","no","foil","foil"
"46","Simultaneous","no","no","foil","foil"
"47","Simultaneous","no","no","foil","foil"
"48","Simultaneous","no","no","foil","foil"
"49","Simultaneous","no","no","foil","foil"
"50","Simultaneous","no","no","foil","foil"
"51","Simultaneous","no","no","foil","foil"
"52","Simultaneous","no","no","foil","foil"
"53","Simultaneous","no","no","foil","foil"
"54","Simultaneous","no","no","foil","foil"
"55","Simultaneous","no","no","foil","foil"
"56","Simultaneous","no","no","foil","foil"
"57","Simultaneous","no","no","foil","foil"
"58","Simultaneous","no","no","foil","foil"
"59","Simultaneous","no","no","foil","foil"
"60","Simultaneous","no","no","foil","foil"
"61","Simultaneous","no","no","foil","foil"
"62","Simultaneous","no","no","foil","foil"
"63","Simultaneous","no","no","foil","foil"
"64","Simultaneous","no","no","foil","foil"
"65","Simultaneous","no","no","foil","foil"
"66","Simultaneous","no","no","foil","foil"
"67","Simultaneous","no","no","foil","foil"
"68","Simultaneous","no","no","foil","foil"
"69","Simultaneous","no","no","foil","foil"
"70","Simultaneous","no","no","foil","foil"
"71","Simultaneous","no","no","foil","foil"
"72","Simultaneous","no","no","foil","foil"
"73","Simultaneous","no","no","foil","foil"
"74","Simultaneous","no","no","foil","foil"
"75","Simultaneous","no","no","foil","foil"
"76","Simultaneous","no","no","foil","foil"
"77","Simultaneous","no","no","foil","foil"
"78","Simultaneous","no","no","foil","foil"
"79","Simultaneous","no","no","foil","foil"
"80","Simultaneous","no","no","foil","foil"
"81","Simultaneous","no","no","foil","foil"
"82","Simultaneous","no","no","foil","foil"
"83","Simultaneous","no","no","foil","foil"
"84","Simultaneous","no","no","foil","foil"
"85","Simultaneous","no","no","foil","foil"
"86","Simultaneous","no","no","foil","foil"
"87","Simultaneous","no","no","foil","foil"
"88","Simultaneous","no","no","reject","reject"
"89","Simultaneous","no","no","reject","reject"
"90","Simultaneous","no","no","reject","reject"
"91","Simultaneous","no","no","reject","reject"
"92","Simultaneous","no","no","reject","reject"
"93","Simultaneous","no","no","reject","reject"
"94","Simultaneous","no","no","reject","reject"
"95","Simultaneous","no","no","reject","reject"
"96","Simultaneous","no","no","reject","reject"
"97","Simultaneous","no","no","reject","reject"
"98","Simultaneous","no","no","reject","reject"
"99","Simultaneous","no","no","reject","reject"
"100","Simultaneous","no","no","reject","reject"
"101","Simultaneous","no","no","reject","reject"
"102","Simultaneous","no","no","reject","reject"
"103","Simultaneous","no","no","reject","reject"
"104","Simultaneous","no","no","reject","reject"
"105","Simultaneous","no","no","reject","reject"
"106","Simultaneous","no","no","reject","reject"
"107","Simultaneous","no","no","reject","reject"
"108","Simultaneous","no","no","reject","reject"
"109","Simultaneous","no","no","reject","reject"
"110","Simultaneous","no","yes","correct","correct"
"111","Simultaneous","no","yes","correct","correct"
"112","Simultaneous","no","yes","correct","correct"
"113","Simultaneous","no","yes","correct","correct"
"114","Simultaneous","no","yes","correct","correct"
"115","Simultaneous","no","yes","correct","correct"
"116","Simultaneous","no","yes","correct","correct"
"117","Simultaneous","no","yes","correct","correct"
"118","Simultaneous","no","yes","correct","correct"
"119","Simultaneous","no","yes","correct","correct"
"120","Simultaneous","no","yes","correct","correct"
"121","Simultaneous","no","yes","correct","correct"
"122","Simultaneous","no","yes","correct","correct"
"123","Simultaneous","no","yes","correct","correct"
"124","Simultaneous","no","yes","correct","correct"
"125","Simultaneous","no","yes","correct","correct"
"126","Simultaneous","no","yes","correct","correct"
"127","Simultaneous","no","yes","correct","correct"
"128","Simultaneous","no","yes","correct","correct"
"129","Simultaneous","no","yes","correct","correct"
"130","Simultaneous","no","yes","correct","correct"
"131","Simultaneous","no","yes","correct","correct"
"132","Simultaneous","no","yes","correct","correct"
"133","Simultaneous","no","yes","correct","correct"
"134","Simultaneous","no","yes","correct","correct"
"135","Simultaneous","no","yes","correct","correct"
"136","Simultaneous","no","yes","correct","correct"
"137","Simultaneous","no","yes","foil","foil"
"138","Simultaneous","no","yes","foil","foil"
"139","Simultaneous","no","yes","foil","foil"
"140","Simultaneous","no","yes","foil","foil"
"141","Simultaneous","no","yes","foil","foil"
"142","Simultaneous","no","yes","foil","foil"
"143","Simultaneous","no","yes","foil","foil"
"144","Simultaneous","no","yes","foil","foil"
"145","Simultaneous","no","yes","foil","foil"
"146","Simultaneous","no","yes","foil","foil"
"147","Simultaneous","no","yes","foil","foil"
"148","Simultaneous","no","yes","foil","foil"
"149","Simultaneous","no","yes","foil","foil"
"150","Simultaneous","no","yes","foil","foil"
"151","Simultaneous","no","yes","foil","foil"
"152","Simultaneous","no","yes","foil","foil"
"153","Simultaneous","no","yes","foil","foil"
"154","Simultaneous","no","yes","foil","foil"
"155","Simultaneous","no","yes","foil","foil"
"156","Simultaneous","no","yes","foil","foil"
"157","Simultaneous","no","yes","foil","foil"
"158","Simultaneous","no","yes","foil","foil"
"159","Simultaneous","no","yes","foil","foil"
"160","Simultaneous","no","yes","foil","foil"
"161","Simultaneous","no","yes","foil","foil"
"162","Simultaneous","no","yes","foil","foil"
"163","Simultaneous","no","yes","foil","foil"
"164","Simultaneous","no","yes","foil","foil"
"165","Simultaneous","no","yes","foil","foil"
"166","Simultaneous","no","yes","foil","foil"
"167","Simultaneous","no","yes","foil","foil"
"168","Simultaneous","no","yes","foil","foil"
"169","Simultaneous","no","yes","foil","foil"
"170","Simultaneous","no","yes","foil","foil"
"171","Simultaneous","no","yes","foil","foil"
"172","Simultaneous","no","yes","foil","foil"
"173","Simultaneous","no","yes","foil","foil"
"174","Simultaneous","no","yes","foil","foil"
"175","Simultaneous","no","yes","foil","foil"
"176","Simultaneous","no","yes","foil","foil"
"177","Simultaneous","no","yes","foil","foil"
"178","Simultaneous","no","yes","foil","foil"
"179","Simultaneous","no","yes","foil","foil"
"180","Simultaneous","no","yes","foil","foil"
"181","Simultaneous","no","yes","foil","foil"
"182","Simultaneous","no","yes","foil","foil"
"183","Simultaneous","no","yes","foil","foil"
"184","Simultaneous","no","yes","foil","foil"
"185","Simultaneous","no","yes","foil","foil"
"186","Simultaneous","no","yes","foil","foil"
"187","Simultaneous","no","yes","foil","foil"
"188","Simultaneous","no","yes","foil","foil"
"189","Simultaneous","no","yes","foil","foil"
"190","Simultaneous","no","yes","foil","foil"
"191","Simultaneous","no","yes","foil","foil"
"192","Simultaneous","no","yes","foil","foil"
"193","Simultaneous","no","yes","foil","foil"
"194","Simultaneous","no","yes","foil","foil"
"195","Simultaneous","no","yes","foil","foil"
"196","Simultaneous","no","yes","foil","foil"
"197","Simultaneous","no","yes","foil","foil"
"198","Simultaneous","no","yes","foil","foil"
"199","Simultaneous","no","yes","foil","foil"
"200","Simultaneous","no","yes","reject","reject"
"201","Simultaneous","no","yes","reject","reject"
"202","Simultaneous","no","yes","reject","reject"
"203","Simultaneous","no","yes","reject","reject"
"204","Simultaneous","no","yes","reject","reject"
"205","Simultaneous","no","yes","reject","reject"
"206","Simultaneous","no","yes","reject","reject"
"207","Simultaneous","no","yes","reject","reject"
"208","Simultaneous","no","yes","reject","reject"
"209","Simultaneous","no","yes","reject","reject"
"210","Simultaneous","no","yes","reject","reject"
"211","Simultaneous","no","yes","reject","reject"
"212","Simultaneous","no","yes","reject","reject"
"213","Simultaneous","no","yes","reject","reject"
"214","Simultaneous","no","yes","reject","reject"
"215","Simultaneous","no","yes","reject","reject"
"216","Simultaneous","no","yes","reject","reject"
"217","Simultaneous","no","yes","reject","reject"
"218","Simultaneous","no","yes","reject","reject"
"219","Simultaneous","no","yes","reject","reject"
"220","Simultaneous","no","yes","reject","reject"
"221","Simultaneous","no","yes","reject","reject"
"222","Simultaneous","no","yes","reject","reject"
