caseid,age,sex,sei,region,polviews,natmass
53044,31,Male,76.400002,Middle Atlantic,Slightly Liberal,About Right
53045,23,Female,85.099998,Middle Atlantic,Liberal,Too Little
53048,78,Female,29.4,Middle Atlantic,Slightly Liberal,About Right
53049,40,Male,32.299999,Middle Atlantic,Slightly Liberal,Too Little
53050,46,Female,63.5,Middle Atlantic,Slightly Conservative,Too Little
53051,80,Female,73.199997,Middle Atlantic,Moderate,About Right
53054,31,Female,34.400002,Middle Atlantic,Liberal,Too Much
53056,58,Male,28.4,Middle Atlantic,Extremely Liberal,Too Little
53058,57,Female,28.4,Middle Atlantic,Conservative,About Right
53059,28,Female,22.5,Middle Atlantic,Slightly Liberal,Too Little
53060,80,Female,38.400002,Middle Atlantic,Conservative,Too Little
53063,35,Male,48.799999,Middle Atlantic,Slightly Liberal,Too Little
53064,49,Male,44.700001,Middle Atlantic,Slightly Conservative,About Right
53065,56,Male,33.200001,Middle Atlantic,Slightly Liberal,Too Little
53068,35,Female,37.400002,Middle Atlantic,Liberal,Too Little
53069,26,Female,50.700001,Middle Atlantic,Slightly Conservative,Too Little
53071,21,Female,29.1,Middle Atlantic,Slightly Liberal,Too Little
53072,33,Female,37.700001,Middle Atlantic,Moderate,Too Little
53073,53,Female,72.5,Middle Atlantic,Slightly Liberal,Too Little
53074,63,Female,72.5,Middle Atlantic,Liberal,Too Little
53075,34,Male,82.699997,Middle Atlantic,Liberal,Too Little
53076,75,Male,84.699997,Middle Atlantic,Moderate,Too Little
53077,78,Female,63.5,Middle Atlantic,Moderate,Too Little
53078,57,Male,63.5,Middle Atlantic,Slightly Conservative,About Right
53080,84,Female,62.5,Middle Atlantic,Liberal,Too Little
53081,53,Male,53.700001,Middle Atlantic,Slightly Conservative,Too Little
53082,83,Female,42.299999,Middle Atlantic,Liberal,Too Little
53084,24,Male,72.5,Middle Atlantic,Liberal,Too Little
53085,33,Male,78.5,Middle Atlantic,Liberal,Too Little
53086,23,Female,28.4,Middle Atlantic,Slightly Conservative,Too Little
53087,25,Male,60.599998,Middle Atlantic,Liberal,Too Much
53089,20,Male,38.900002,Middle Atlantic,Moderate,Too Little
53090,37,Female,42.5,Middle Atlantic,Liberal,Too Little
53092,45,Male,38.5,New England,Moderate,About Right
53093,40,Female,26.4,New England,Liberal,About Right
53094,80,Male,69.199997,New England,Moderate,Too Little
53095,60,Male,86.599998,New England,Conservative,Too Much
53096,49,Male,83.699997,New England,Slightly Conservative,About Right
53097,22,Female,63.200001,New England,Extremely Liberal,About Right
53098,63,Female,78.5,New England,Moderate,Too Little
53099,72,Male,37.900002,Middle Atlantic,Slightly Conservative,About Right
53100,42,Female,31.200001,Middle Atlantic,Slightly Liberal,About Right
53102,21,Female,41.599998,Middle Atlantic,Conservative,About Right
53103,26,Female,63.5,Middle Atlantic,Slightly Conservative,About Right
53104,31,Male,63.5,Middle Atlantic,Moderate,Too Much
53105,41,Female,22.700001,Middle Atlantic,Moderate,Too Little
53108,34,Male,38.900002,Middle Atlantic,Moderate,Too Little
53109,44,Female,73.599998,Middle Atlantic,Conservative,About Right
53110,45,Male,38.099998,Middle Atlantic,Slightly Conservative,About Right
53111,28,Male,38.099998,Middle Atlantic,Moderate,Too Much
53112,46,Male,66.099998,Middle Atlantic,Moderate,About Right
53113,50,Female,51.900002,Middle Atlantic,Liberal,About Right
53114,40,Male,38.200001,Middle Atlantic,Conservative,Too Much
53115,42,Female,85.099998,Middle Atlantic,Liberal,Too Little
53117,53,Male,50.700001,Middle Atlantic,Moderate,About Right
53118,39,Female,32.400002,Middle Atlantic,Slightly Conservative,About Right
53119,40,Female,33.099998,Middle Atlantic,Conservative,About Right
53120,44,Female,73.199997,Middle Atlantic,Liberal,About Right
53121,58,Male,60.599998,Middle Atlantic,Conservative,About Right
53122,46,Male,50.700001,Middle Atlantic,Moderate,About Right
53123,66,Female,65.199997,Middle Atlantic,Conservative,Too Little
53124,48,Female,74.400002,Middle Atlantic,Slightly Liberal,About Right
53125,88,Male,31.5,Middle Atlantic,Moderate,About Right
53126,45,Female,64.199997,Middle Atlantic,Moderate,Too Much
53127,38,Male,38.5,Middle Atlantic,Moderate,About Right
53128,22,Female,82.699997,Middle Atlantic,Moderate,About Right
53129,23,Male,63.5,Middle Atlantic,Slightly Liberal,Too Little
53130,41,Female,73.199997,Middle Atlantic,Slightly Liberal,About Right
53131,23,Female,78.5,Middle Atlantic,Moderate,About Right
53132,60,Male,42.200001,Middle Atlantic,Moderate,About Right
53133,80,Female,61.900002,Middle Atlantic,Slightly Conservative,Too Little
53134,56,Female,38.900002,Middle Atlantic,Moderate,Too Little
53135,43,Female,37.700001,Middle Atlantic,Moderate,About Right
53138,39,Female,29.299999,Middle Atlantic,Moderate,About Right
53139,20,Male,34.799999,Middle Atlantic,Liberal,Too Little
53140,55,Male,63.5,Middle Atlantic,Moderate,About Right
53141,45,Female,38.400002,Middle Atlantic,Liberal,About Right
53143,69,Female,62.5,Middle Atlantic,Moderate,Too Little
53145,31,Male,28.4,Middle Atlantic,Moderate,Too Little
53147,50,Female,54.700001,Middle Atlantic,Slightly Liberal,About Right
53148,51,Male,63.5,Middle Atlantic,Moderate,About Right
53149,68,Female,63.5,Middle Atlantic,Moderate,Too Little
53151,50,Female,44.400002,Middle Atlantic,Moderate,Too Little
53152,51,Female,63.200001,Middle Atlantic,Moderate,Too Little
53156,64,Male,63.200001,Middle Atlantic,Liberal,Too Little
53157,44,Female,32.400002,Middle Atlantic,Conservative,Too Much
53158,40,Male,80.300003,Middle Atlantic,Slightly Conservative,Too Little
