natmass,age,sex,sei,region,polviews
About Right,37,Male,50.700001,South Atlantic,Liberal
About Right,31,Female,38.400002,South Atlantic,Moderate
Too Little,37,Female,83.900002,Pacific,Liberal
Too Little,72,Male,66.099998,Pacific,Liberal
Too Little,26,Female,78.5,Pacific,Liberal
About Right,31,Male,53.400002,Middle Atlantic,Slightly Conservative
Too Little,54,Female,59,Pacific,Moderate
Too Little,41,Male,61.900002,Pacific,Extremely Conservative
About Right,68,Female,73.199997,E. Sou. Central,Moderate
Too Little,39,Male,63.5,New England,Conservative
Too Little,78,Female,29.299999,South Atlantic,Liberal
About Right,34,Male,35.400002,Pacific,Slightly Liberal
Too Little,47,Male,37.299999,South Atlantic,Extremely Conservative
Too Much,37,Male,48.799999,New England,Moderate
About Right,83,Female,32.400002,W. Sou. Central,Conservative
About Right,39,Male,61.900002,E. Sou. Central,Conservative
About Right,24,Male,40,South Atlantic,Moderate
Too Little,24,Female,36.700001,Pacific,Extremely Conservative
About Right,82,Female,63.5,South Atlantic,Moderate
About Right,81,Female,38.900002,E. Sou. Central,Moderate
Too Little,56,Female,36.5,Middle Atlantic,Moderate
Too Little,63,Female,29.299999,Pacific,Conservative
About Right,85,Female,69.199997,Middle Atlantic,Conservative
Too Little,40,Female,33.099998,South Atlantic,Moderate
Too Little,43,Female,62.5,Mountain,Liberal
Too Little,53,Male,31.5,E. Nor. Central,Moderate
About Right,30,Female,32.299999,E. Nor. Central,Slightly Conservative
About Right,32,Female,33.900002,E. Nor. Central,Slightly Liberal
Too Little,43,Male,34.200001,E. Sou. Central,Slightly Conservative
Too Little,67,Male,62,New England,Slightly Liberal
Too Little,75,Male,62.099998,Pacific,Conservative
About Right,35,Female,76.300003,E. Nor. Central,Conservative
Too Little,52,Female,68.099998,South Atlantic,Conservative
Too Much,31,Female,76.400002,South Atlantic,Moderate
Too Little,32,Female,38.400002,South Atlantic,Moderate
About Right,82,Female,22.5,Middle Atlantic,Conservative
Too Much,22,Male,37.299999,Pacific,Slightly Liberal
About Right,64,Female,29.299999,South Atlantic,Moderate
About Right,21,Male,63.5,E. Sou. Central,Moderate
Too Much,41,Male,63.5,Middle Atlantic,Moderate
About Right,49,Female,41.299999,South Atlantic,Moderate
About Right,38,Female,32.400002,Pacific,Moderate
Too Little,53,Male,32.299999,E. Nor. Central,Conservative
About Right,30,Male,63.200001,South Atlantic,Slightly Liberal
Too Much,78,Male,28.4,Middle Atlantic,Slightly Liberal
About Right,62,Female,38.400002,Middle Atlantic,Extremely Conservative
Too Little,41,Male,56.5,E. Nor. Central,Moderate
Too Little,86,Female,73.199997,E. Nor. Central,Liberal
Too Little,49,Male,63.200001,South Atlantic,Conservative
About Right,58,Female,21.200001,W. Sou. Central,Liberal
About Right,49,Male,53.099998,Middle Atlantic,Moderate
About Right,32,Female,80.300003,W. Nor. Central,Conservative
Too Little,41,Female,76.400002,W. Sou. Central,Liberal
About Right,45,Female,56.599998,South Atlantic,Moderate
About Right,56,Male,44.700001,W. Sou. Central,Moderate
About Right,58,Male,64.099998,Mountain,Conservative
About Right,24,Male,29.200001,E. Nor. Central,Slightly Conservative
Too Little,66,Female,26.700001,E. Nor. Central,Moderate
About Right,25,Male,64.099998,New England,Conservative
Too Much,71,Male,50.700001,W. Nor. Central,Slightly Conservative
About Right,70,Female,38.900002,E. Nor. Central,Moderate
About Right,56,Male,96,Mountain,Slightly Conservative
Too Little,23,Male,33.099998,Middle Atlantic,Moderate
Too Much,85,Female,26.700001,Middle Atlantic,Conservative
Too Much,43,Male,73.900002,South Atlantic,Conservative
About Right,28,Female,22.700001,E. Nor. Central,Moderate
About Right,29,Female,74.900002,South Atlantic,Slightly Liberal
About Right,33,Male,42.200001,Pacific,Slightly Liberal
About Right,52,Female,31.9,South Atlantic,Conservative
Too Little,41,Male,49.299999,Pacific,Liberal
About Right,46,Male,28.200001,W. Sou. Central,Moderate
Too Much,65,Male,38.900002,W. Sou. Central,Slightly Conservative
About Right,65,Female,38.400002,E. Nor. Central,Conservative
About Right,41,Male,51,South Atlantic,Slightly Liberal
About Right,48,Female,80.300003,New England,Slightly Conservative
About Right,27,Male,50.700001,Middle Atlantic,Slightly Liberal
About Right,30,Female,38.400002,W. Sou. Central,Slightly Conservative
Too Little,49,Male,85.099998,South Atlantic,Slightly Liberal
Too Little,46,Male,40,W. Sou. Central,Liberal
Too Little,57,Male,50.700001,South Atlantic,Moderate
About Right,40,Male,64.800003,W. Nor. Central,Slightly Conservative
Too Little,23,Male,63.5,Mountain,Conservative
About Right,38,Female,30.799999,W. Sou. Central,Moderate
Too Little,52,Male,63.5,Middle Atlantic,Moderate
About Right,47,Male,29.4,E. Nor. Central,Moderate
Too Little,42,Male,73.599998,South Atlantic,Slightly Liberal
Too Little,38,Female,63.5,W. Sou. Central,Slightly Liberal
Too Much,45,Male,28.6,E. Sou. Central,Moderate
Too Little,37,Female,19.5,Pacific,Moderate
Too Much,41,Female,22.700001,South Atlantic,Conservative
About Right,68,Female,38.400002,South Atlantic,Conservative
Too Much,28,Male,60.599998,E. Sou. Central,Slightly Liberal
Too Little,42,Female,73.199997,W. Nor. Central,Moderate
Too Little,46,Female,29.200001,E. Sou. Central,Slightly Conservative
Too Little,53,Female,85.099998,W. Sou. Central,Slightly Liberal
About Right,23,Male,28.6,E. Nor. Central,Moderate
About Right,40,Male,83.699997,W. Sou. Central,Slightly Conservative
Too Little,60,Female,38.400002,South Atlantic,Slightly Liberal
About Right,27,Male,81,South Atlantic,Moderate
Too Little,35,Female,33.099998,Pacific,Extremely Liberal
About Right,28,Female,36.5,E. Nor. Central,Moderate
About Right,35,Female,37.700001,W. Sou. Central,Liberal
About Right,33,Male,63.5,Pacific,Conservative
Too Little,60,Female,50.700001,Middle Atlantic,Moderate
Too Little,68,Female,62.5,Pacific,Moderate
About Right,50,Female,29,E. Nor. Central,Moderate
Too Much,20,Male,22.9,E. Nor. Central,Moderate
Too Little,62,Male,28.6,W. Sou. Central,Liberal
About Right,40,Female,21.200001,South Atlantic,Slightly Liberal
Too Much,40,Female,29,Pacific,Moderate
About Right,79,Female,27.700001,South Atlantic,Slightly Conservative
Too Little,68,Male,56.5,E. Nor. Central,Liberal
About Right,23,Female,22.5,New England,Moderate
About Right,52,Female,34.400002,W. Sou. Central,Slightly Conservative
Too Little,21,Male,27.5,W. Sou. Central,Moderate
About Right,39,Female,78.5,South Atlantic,Moderate
About Right,38,Female,73.199997,Middle Atlantic,Moderate
About Right,39,Male,31.4,E. Nor. Central,Conservative
About Right,80,Female,36.5,W. Sou. Central,Slightly Conservative
Too Much,76,Female,34.599998,Mountain,Extremely Conservative
About Right,31,Female,68.099998,E. Sou. Central,Moderate
About Right,47,Male,63.5,W. Nor. Central,Slightly Conservative
Too Little,30,Female,85.099998,Pacific,Moderate
Too Little,40,Male,34.200001,W. Nor. Central,Moderate
About Right,33,Female,63.5,New England,Slightly Conservative
About Right,55,Female,37.299999,Pacific,Moderate
Too Little,45,Male,28.4,E. Nor. Central,Extremely Conservative
Too Much,32,Female,73.199997,E. Nor. Central,Slightly Conservative
Too Little,38,Male,44.700001,Middle Atlantic,Moderate
Too Little,39,Female,76.400002,E. Nor. Central,Slightly Conservative
About Right,43,Male,33.200001,South Atlantic,Conservative
Too Little,78,Female,28.4,W. Sou. Central,Moderate
Too Little,36,Male,48.799999,Middle Atlantic,Moderate
Too Little,39,Male,31.4,E. Nor. Central,Conservative
Too Little,62,Female,63.5,South Atlantic,Conservative
Too Little,67,Female,21.1,E. Nor. Central,Slightly Conservative
About Right,56,Male,33.099998,South Atlantic,Conservative
About Right,42,Female,17.1,South Atlantic,Liberal
Too Little,33,Male,29.6,W. Sou. Central,Moderate
About Right,52,Female,82.699997,South Atlantic,Liberal
Too Little,72,Male,37.700001,South Atlantic,Liberal
Too Little,42,Male,63.5,W. Nor. Central,Extremely Liberal
About Right,80,Female,38.900002,Mountain,Moderate
About Right,20,Male,50.700001,Middle Atlantic,Moderate
Too Little,29,Female,67,E. Sou. Central,Liberal
About Right,83,Male,43.400002,Middle Atlantic,Moderate
Too Little,60,Male,29.4,Pacific,Moderate
About Right,61,Male,78.5,Pacific,Conservative
About Right,49,Male,73.300003,Middle Atlantic,Conservative
About Right,36,Female,53.299999,Mountain,Slightly Liberal
About Right,27,Male,25.299999,E. Nor. Central,Liberal
Too Little,29,Female,85.099998,Mountain,Slightly Conservative
Too Little,34,Male,73.900002,New England,Slightly Liberal
Too Little,34,Male,45.700001,Middle Atlantic,Moderate
Too Little,27,Male,29.200001,Mountain,Slightly Liberal
Too Little,56,Female,29.299999,W. Sou. Central,Conservative
Too Little,28,Male,38.900002,Pacific,Extremely Liberal
About Right,32,Female,80.199997,South Atlantic,Slightly Liberal
Too Little,24,Male,44.700001,Pacific,Slightly Liberal
About Right,75,Female,31.4,E. Nor. Central,Moderate
Too Little,36,Female,73.199997,Mountain,Slightly Conservative
About Right,46,Male,34.200001,W. Sou. Central,Conservative
Too Little,61,Female,76.400002,E. Sou. Central,Extremely Conservative
About Right,83,Male,63.5,South Atlantic,Moderate
Too Little,24,Male,34.200001,E. Nor. Central,Slightly Liberal
Too Little,35,Female,87,New England,Liberal
Too Little,47,Male,59.299999,W. Nor. Central,Slightly Conservative
Too Little,55,Male,66.099998,E. Nor. Central,Slightly Conservative
About Right,44,Female,31.4,E. Sou. Central,Slightly Liberal
About Right,43,Female,68.099998,Pacific,Liberal
About Right,31,Female,22.9,South Atlantic,Conservative
About Right,31,Male,83.699997,E. Sou. Central,Conservative
Too Little,28,Male,29.700001,E. Nor. Central,Liberal
Too Little,60,Male,61.900002,Mountain,Liberal
Too Little,43,Male,48.5,W. Nor. Central,Liberal
About Right,24,Male,38.400002,W. Sou. Central,Liberal
About Right,79,Female,80.300003,W. Nor. Central,Slightly Liberal
Too Little,35,Female,69.199997,E. Nor. Central,Slightly Conservative
Too Little,29,Male,63.5,South Atlantic,Conservative
About Right,46,Female,53.299999,South Atlantic,Conservative
About Right,22,Male,40.099998,South Atlantic,Slightly Liberal
About Right,21,Female,30.799999,South Atlantic,Moderate
About Right,38,Female,37.299999,South Atlantic,Moderate
Too Little,63,Female,72.5,Middle Atlantic,Liberal
About Right,69,Male,83.699997,Mountain,Conservative
Too Little,33,Female,63.5,W. Sou. Central,Moderate
About Right,27,Male,29.200001,Middle Atlantic,Moderate
Too Little,24,Female,63.5,South Atlantic,Liberal
Too Little,24,Female,63.5,Middle Atlantic,Moderate
About Right,33,Female,63.5,W. Sou. Central,Moderate
Too Little,36,Female,68.099998,Middle Atlantic,Liberal
About Right,28,Male,32.099998,E. Nor. Central,Moderate
About Right,35,Male,32.299999,W. Sou. Central,Conservative
Too Little,46,Female,53.299999,Pacific,Extremely Liberal
Too Much,38,Female,62,E. Nor. Central,Moderate
Too Little,34,Female,68.099998,South Atlantic,Liberal
Too Little,69,Male,92.300003,E. Nor. Central,Slightly Liberal
About Right,59,Male,64.099998,E. Nor. Central,Moderate
Too Little,39,Male,69.199997,Middle Atlantic,Liberal
Too Little,58,Female,50.700001,E. Nor. Central,Slightly Liberal
About Right,31,Male,60.5,Middle Atlantic,Moderate
About Right,25,Female,37.900002,E. Sou. Central,Slightly Liberal
Too Much,39,Male,28.4,E. Nor. Central,Slightly Conservative
About Right,56,Female,33.299999,South Atlantic,Slightly Conservative
Too Little,63,Female,28.4,South Atlantic,Slightly Liberal
Too Much,33,Male,29.200001,E. Sou. Central,Conservative
About Right,40,Female,71.599998,South Atlantic,Moderate
Too Little,27,Female,75.199997,W. Nor. Central,Liberal
Too Little,75,Female,40.200001,South Atlantic,Moderate
Too Little,40,Female,69.199997,Middle Atlantic,Liberal
Too Much,48,Male,36.5,Mountain,Conservative
About Right,26,Female,51.900002,Pacific,Extremely Liberal
Too Much,44,Male,48.900002,South Atlantic,Moderate
About Right,28,Female,75.199997,E. Sou. Central,Conservative
About Right,70,Female,33.099998,South Atlantic,Liberal
About Right,23,Male,26.5,W. Nor. Central,Slightly Conservative
Too Little,50,Male,29.200001,E. Nor. Central,Liberal
About Right,71,Female,63.5,E. Nor. Central,Moderate
Too Little,62,Female,63.5,Middle Atlantic,Conservative
Too Little,37,Female,63.5,Middle Atlantic,Moderate
Too Little,43,Female,37.700001,Middle Atlantic,Slightly Liberal
Too Much,41,Male,29.299999,Pacific,Conservative
About Right,26,Female,26.700001,South Atlantic,Extremely Liberal
About Right,28,Female,37.299999,W. Sou. Central,Moderate
Too Little,36,Female,32.400002,Mountain,Liberal
Too Little,63,Female,80.300003,Pacific,Liberal
About Right,24,Female,54.700001,Pacific,Liberal
Too Little,79,Male,65.800003,Pacific,Slightly Conservative
Too Little,33,Female,34.599998,South Atlantic,Moderate
About Right,57,Male,63.5,Middle Atlantic,Slightly Conservative
About Right,34,Male,68.800003,Middle Atlantic,Liberal
Too Little,55,Male,35.700001,W. Nor. Central,Moderate
About Right,42,Female,63.5,E. Sou. Central,Moderate
Too Little,33,Male,34.200001,Pacific,Conservative
About Right,54,Male,70.5,South Atlantic,Moderate
About Right,37,Female,73.199997,E. Nor. Central,Conservative
Too Little,60,Female,82.699997,New England,Slightly Liberal
About Right,52,Female,38.400002,Pacific,Slightly Conservative
About Right,74,Male,49.900002,South Atlantic,Extremely Conservative
About Right,21,Male,32.299999,E. Nor. Central,Moderate
Too Much,58,Female,22.5,E. Sou. Central,Moderate
About Right,23,Male,37.599998,W. Sou. Central,Conservative
About Right,39,Female,38.400002,South Atlantic,Moderate
Too Little,66,Male,56.5,South Atlantic,Extremely Conservative
Too Little,40,Male,31.5,E. Nor. Central,Slightly Liberal
About Right,75,Female,50.700001,E. Nor. Central,Moderate
Too Little,53,Male,78.5,W. Sou. Central,Conservative
About Right,37,Female,33.099998,W. Nor. Central,Slightly Conservative
About Right,34,Male,83.900002,E. Nor. Central,Slightly Conservative
About Right,49,Female,69.199997,Mountain,Moderate
Too Little,37,Female,75.900002,Pacific,Conservative
Too Much,48,Female,60.599998,South Atlantic,Conservative
Too Little,66,Male,32,Mountain,Slightly Conservative
About Right,45,Male,29.4,New England,Liberal
Too Little,58,Male,60.5,Pacific,Moderate
About Right,39,Female,84,W. Sou. Central,Moderate
About Right,19,Male,34.299999,W. Nor. Central,Moderate
Too Little,39,Male,63.5,Pacific,Slightly Conservative
Too Little,35,Female,92.300003,E. Nor. Central,Moderate
Too Little,59,Female,68.099998,Mountain,Moderate
About Right,82,Male,23.299999,E. Nor. Central,Slightly Conservative
About Right,27,Female,64.800003,Middle Atlantic,Moderate
About Right,74,Male,37.599998,E. Nor. Central,Slightly Conservative
Too Much,32,Female,26.5,Mountain,Slightly Conservative
Too Little,47,Male,87,South Atlantic,Liberal
About Right,69,Female,51.900002,Middle Atlantic,Moderate
About Right,87,Female,78.5,W. Nor. Central,Slightly Liberal
About Right,31,Female,26.4,Pacific,Moderate
Too Little,31,Male,37.400002,Middle Atlantic,Slightly Conservative
Too Much,36,Male,63.200001,Middle Atlantic,Conservative
About Right,33,Female,64.099998,W. Sou. Central,Moderate
About Right,71,Female,50.5,South Atlantic,Conservative
Too Little,58,Male,50.200001,E. Nor. Central,Conservative
Too Little,87,Female,73.199997,W. Nor. Central,Conservative
Too Little,57,Female,85.099998,W. Sou. Central,Moderate
About Right,28,Female,22.6,Middle Atlantic,Moderate
